timestamp,latency_ms,chunk_size
2256,1.90,4096
2357,8.90,4096
2456,7.80,4096
2540,1.70,4096
2923,14.90,4096
3007,12.30,4096
3106,8.10,4096
3189,4.70,4096
4406,8.30,4096
4489,2.80,4096
4589,15.00,4096
5789,1.80,4096
5889,13.70,4096
5989,11.40,4096
7739,2.60,4096
7839,16.00,4096
7939,12.30,4096
8022,7.60,4096
8123,14.10,4096
8223,14.50,4096
8306,8.40,4096
9889,14.60,4096
9972,4.40,4096
10072,15.50,4096
11373,13.00,4096
11456,0.60,4096
11556,7.50,4096
11639,4.40,4096
13505,7.60,4096
13589,5.00,4096
